attraction_name,category,region,prefecture,city,location,address,operating_hours,price,latitude,longitude
Fukuoka Tower,Landmark,Kyushu,Fukuoka,Fukuoka,Sawara Ward,2-3-26 Momochihama,Monday-Sunday: 9:30 AM - 10:00 PM,Adult: ¥800,33.593044,130.400314
Nagasaki Peace Park,Memorial Park,Kyushu,Nagasaki,Nagasaki,Nagasaki,10-1 Matsugaemachi,Monday-Sunday: 8:30 AM - 5:30 PM,Free admission,32.746553,129.873618
Kumamoto Castle,Castle,Kyushu,Kumamoto,Kumamoto,Chuo Ward,1-1 Honmaru,Monday-Sunday: 9:00 AM - 5:30 PM,Adult: ¥500,32.8031,130.7079
Yufuin Floral Village,Theme Park,Kyushu,Oita,Yufu,Yufuin,2395-1 Yufuincho Kawakami,Monday-Sunday: 9:00 AM - 6:00 PM,Free admission (some attractions may have separate fees),33.2606,131.3023
Aso Volcano Museum,Museum,Kyushu,Kumamoto,Aso,Aso,2315-249 Kurokawa,Tuesday-Sunday: 9:00 AM - 5:00 PM,Adult: ¥600,32.9064,131.0428
Beppu Jigoku Meguri,Hot Springs,Kyushu,Oita,Beppu,Beppu,559-1 Kannawa,Monday-Sunday: 8:00 AM - 5:00 PM,¥400 per hell (admission fees vary by attraction),33.2715,131.4919
Sakurajima,Yushukan,Museum,Kyushu,Kagoshima,Kagoshima,1414-39 Sakurajima Yunohira,Tuesday-Sunday: 9:00 AM - 5:00 PM,Adult: ¥500,31.5994,130.6305
Nanzoin Temple,Temple,Kyushu,Fukuoka,Fukuoka,Sasaguri,Nanzoin 1030,Open 24 hours,Free admission,33.6281,130.5231
Huis Ten Bosch,Theme Park,Kyushu,Nagasaki,Sasebo,Huis Ten Bosch,Huis Ten Bosch 1-1,Monday-Sunday: 9:00 AM - 10:00 PM,Varies by ticket package and attraction,33.0886,129.7883
Miyazaki Shrine,Shrine,Kyushu,Miyazaki,Miyazaki,Miyazaki,1 Tachibanadori,Monday-Sunday: 6:00 AM - 6:00 PM,Free admission,31.9086,131.424
